"Pressure (Decibar)","Depth (Meter)","Temperature (Celsius)","Conductivity (MicroSiemens per Centimeter)","Specific conductance (MicroSiemens per Centimeter)","Salinity (Practical Salinity Scale)","Sound velocity (Meters per Second)","Density (Kilograms per Cubic Meter)"
8.55,8.53438780637057,13.9124600659287,36107.8378661835,46396.2414673945,29.6890623519351,1497.09756112183,1022.14347248555
8.85,8.83360456088568,13.9137644142995,36161.5038375576,46463.6413128273,29.7369442441301,1497.1629357089,1022.18148650566
9.15,9.13281499612485,13.9271466978005,36182.7211765602,46474.9207763083,29.7458615685943,1497.22251080789,1022.18703613127
9.45,9.43202224775424,13.9230985967334,36199.914577589,46501.840658476,29.7645798277859,1497.23603866142,1022.20362754951
9.75,9.73122408861837,13.9156759788164,36219.2136654794,46535.5062638449,29.7878385807001,1497.24375021636,1022.22439550733
10.05,10.0304213262105,13.918744751816,36236.6183688812,46554.1972126302,29.8012480718071,1497.27454707231,1022.2354703146
10.35,10.3296155397368,13.9260513452831,36257.2667504869,46571.9813562343,29.814334652447,1497.31894815263,1022.24544816248
10.65,10.6288051659195,13.9261004635314,36286.4234740797,46609.3739701402,29.840813952,1497.35509456119,1022.26720619788
10.95,10.9279883465494,13.9325333122523,36324.1216206435,46650.0873823334,29.8701419006179,1497.41563881276,1022.28988340608
11.25,11.2271659698072,13.9368694962459,36349.5262884079,46677.5151144503,29.8898665947709,1497.45800840951,1022.30557331505
11.55,11.5263371465994,13.9410402414998,36393.2961660376,46728.7159515231,29.9264901769199,1497.51963256986,1022.33432872744
11.85,11.8255031964281,13.9524747829409,36413.972329816,46741.5389301059,29.9363699806176,1497.57385930607,1022.34100159495
12.15,12.1246607228582,13.9372364422127,36468.6310949226,46830.0198308196,29.9980516593068,1497.60086019641,1022.39297420562
12.45,12.423807339411,13.9442612673678,36507.4572109992,46871.4208755445,30.0279379191727,1497.66399461961,1022.41596065062
12.8661065644856,12.8387203095047,13.9403602047151,36538.0334560191,46915.3768274527,30.0587710115376,1497.69414126728,1022.44239019538
0.15,0.149790267135443,16.427492381866,37230.52734375,44934.5654337105,28.811221068311,1503.99308116831,1020.90087859137
0.45,0.449381452630109,16.4563032840265,37225.6453890375,44897.4491695464,28.7861879800499,1504.0587088279,1020.87663719484
0.75,0.748975890977285,16.4762907272164,37226.2527197802,44876.5452106264,28.7722379023076,1504.10964415603,1020.86284391305
1.05,1.0485716046207,16.5015458150255,37262.3770435762,44892.7579826261,28.7849882376255,1504.20745911558,1020.86833407401
1.35,1.34816526764564,16.5217847114335,37297.7743075097,44913.5009088848,28.8007049524114,1504.29309118361,1020.87720692027
1.65,1.64775302214865,16.5305811452434,37354.5835208283,44972.3823875586,28.8430024533586,1504.37373412547,1020.90899014431
1.95,1.94733385617741,16.5365033507575,37383.6473071128,45000.9561366111,28.8635659724021,1504.42058012881,1020.92476082513
2.25,2.24691366584075,16.5488027406,37383.4482412771,44987.3952742654,28.8544375507165,1504.45313356336,1020.91635983624
2.55,2.54649009434793,16.528923756159,37406.5288531035,45036.7183516956,28.8884589751877,1504.43559015569,1020.94819445597
2.85,2.84605251749427,16.4696334959536,37431.9699977733,45131.7829966182,28.9530286443856,1504.3310070761,1021.0122119563
3.15,3.14560135723093,16.4152462243003,37409.8728764947,45164.3733733793,28.9733049877565,1504.19063098487,1021.04117596152
3.45,3.44515152327774,16.36485017375,37291.6120346558,45076.4500270341,28.9078999706299,1503.9641418696,1021.00355882153
3.75,3.74470713342103,16.3231054836553,37242.0070173232,45061.9654324548,28.895270778399,1503.82486138144,1021.00445151017
